id,event_timestamp,user_id,amount,currency,tx_status,transaction_type
7042,2020-01-02 19:55:43.341+00,2dea61eed4bceec564a00115c4d21334,1000.0,bat,complete,deposit
7044,2020-01-02 19:55:43.477+00,2dea61eed4bceec564a00115c4d21334,1000.0,gnt,complete,deposit
7046,2020-01-02 19:55:43.516+00,2dea61eed4bceec564a00115c4d21334,1000.0,mana,complete,deposit
7048,2020-01-02 19:55:43.555+00,2dea61eed4bceec564a00115c4d21334,1000.0,ars,complete,deposit
7054,2020-01-06 17:07:49.794+00,7f1171a78ce0780a2142a6eb7bc4f3c8,100.0,ars,complete,deposit
7056,2020-01-06 19:39:10.992+00,95f8d9901ca8878e291552f001f67692,5.0,btc,complete,deposit
7058,2020-01-06 19:39:11.157+00,95f8d9901ca8878e291552f001f67692,20.0,eth,complete,deposit
7060,2020-01-06 19:39:11.216+00,95f8d9901ca8878e291552f001f67692,20.0,ltc,complete,deposit
7062,2020-01-06 19:39:11.261+00,95f8d9901ca8878e291552f001f67692,20000.0,tusd,complete,deposit
7064,2020-01-06 19:39:11.306+00,95f8d9901ca8878e291552f001f67692,650000.0,mxn,complete,deposit
7070,2020-01-09 00:18:45.164+00,7f1171a78ce0780a2142a6eb7bc4f3c8,100.0,bat,complete,deposit
7122,2020-01-10 14:11:06.711+00,1896a3bf730516dd643ba67b4c447d36,10.0,mxn,complete,deposit
7126,2020-01-10 19:10:15.007+00,b166b57d195370cd41f80dd29ed523d9,100000.0,ars,complete,deposit
7128,2020-01-10 19:10:15.085+00,b166b57d195370cd41f80dd29ed523d9,10000.0,mxn,complete,deposit
7130,2020-01-11 04:02:46.65+00,cd3afef9b8b89558cd56638c3631868a,10000.0,ars,complete,deposit
7132,2020-01-13 02:20:50.588+00,b5c01503041b70d41d80e3dbe31bbd8c,1000.0,mxn,complete,deposit
7134,2020-01-13 02:24:51.125+00,b5c01503041b70d41d80e3dbe31bbd8c,1.0,mxn,complete,deposit
7186,2020-01-15 11:04:38.211+00,329e6581efbc90bd92a1f22c4ba2103d,100000.0,ars,complete,deposit
7192,2020-01-16 22:57:04.964+00,273448411df1962cba1db6c05b3213c9,1000000.0,ars,complete,deposit
7194,2020-01-16 22:57:05.01+00,273448411df1962cba1db6c05b3213c9,20000.0,mxn,complete,deposit
7196,2020-01-16 23:20:06.241+00,d6288499d0083cc34e60a077b7c4b3e1,150000.0,mxn,complete,deposit
7202,2020-01-16 23:39:01.216+00,d6288499d0083cc34e60a077b7c4b3e1,10.0,btc,complete,deposit
7204,2020-01-16 23:40:02.913+00,d6288499d0083cc34e60a077b7c4b3e1,10000.0,xrp,complete,deposit
7206,2020-01-16 23:40:40.578+00,d6288499d0083cc34e60a077b7c4b3e1,100.0,ltc,complete,deposit
7208,2020-01-16 23:41:18.338+00,d6288499d0083cc34e60a077b7c4b3e1,150.0,bch,complete,deposit
7210,2020-01-16 23:41:55.542+00,d6288499d0083cc34e60a077b7c4b3e1,10000.0,tusd,complete,deposit
7212,2020-01-16 23:42:33.883+00,d6288499d0083cc34e60a077b7c4b3e1,1000.0,bat,complete,deposit
7214,2020-01-17 00:07:05.894+00,7e3b7a5bafcb0fa8e8dfe3ea6aca9186,150000.0,mxn,complete,deposit
7216,2020-01-17 00:07:26.551+00,7e3b7a5bafcb0fa8e8dfe3ea6aca9186,55.0,btc,complete,deposit
7218,2020-01-17 00:08:20.648+00,7e3b7a5bafcb0fa8e8dfe3ea6aca9186,50.0,ltc,complete,deposit
7220,2020-01-17 00:08:47.964+00,7e3b7a5bafcb0fa8e8dfe3ea6aca9186,75.0,bch,complete,deposit
7222,2020-01-17 00:09:52.469+00,7e3b7a5bafcb0fa8e8dfe3ea6aca9186,5000.0,tusd,complete,deposit
7226,2020-01-17 17:30:27.642+00,d6288499d0083cc34e60a077b7c4b3e1,0.12345,btc,complete,deposit
7318,2020-01-21 22:47:45.432+00,82489c9737cc245530c7a6ebef3753ec,100000.0,mxn,complete,deposit
7328,2020-01-22 01:43:07.667+00,f9a40a4780f5e1306c46f1c8daecee3b,3.0,btc,complete,deposit
7330,2020-01-22 01:43:26.732+00,f9a40a4780f5e1306c46f1c8daecee3b,100000.0,mxn,complete,deposit
7332,2020-01-22 22:56:46.755+00,95f8d9901ca8878e291552f001f67692,1.5,btc,complete,deposit
7366,2020-01-24 19:10:47.427+00,8a146f1a3da4700cbf03cdc55e2daae6,1.0,mxn,complete,deposit
7368,2020-01-24 19:11:22.295+00,8a146f1a3da4700cbf03cdc55e2daae6,80000.0,mxn,complete,deposit
7374,2020-01-24 23:00:02.431+00,794288f252f45d35735a13853e605939,1000000.0,mxn,complete,deposit
7378,2020-01-27 21:43:37.962+00,466accbac9a66b805ba50e42ad715740,100.0,bat,complete,deposit
7380,2020-01-27 21:43:38.012+00,466accbac9a66b805ba50e42ad715740,100.0,bch,complete,deposit
7382,2020-01-27 21:43:38.053+00,466accbac9a66b805ba50e42ad715740,100.0,bsv,complete,deposit
7384,2020-01-27 21:43:38.09+00,466accbac9a66b805ba50e42ad715740,100.0,btc,complete,deposit
7386,2020-01-27 21:43:38.128+00,466accbac9a66b805ba50e42ad715740,100.0,etc,complete,deposit
7388,2020-01-27 21:43:38.165+00,466accbac9a66b805ba50e42ad715740,100.0,eth,complete,deposit
7390,2020-01-27 21:43:38.203+00,466accbac9a66b805ba50e42ad715740,100.0,gnt,complete,deposit
7392,2020-01-27 21:43:38.24+00,466accbac9a66b805ba50e42ad715740,100.0,ltc,complete,deposit
7394,2020-01-27 21:43:38.277+00,466accbac9a66b805ba50e42ad715740,100.0,mana,complete,deposit
7396,2020-01-27 21:43:38.319+00,466accbac9a66b805ba50e42ad715740,100.0,rbtc,complete,deposit
7398,2020-01-27 21:43:38.354+00,466accbac9a66b805ba50e42ad715740,100.0,tusd,complete,deposit
7400,2020-01-27 21:43:38.398+00,466accbac9a66b805ba50e42ad715740,100.0,xrp,complete,deposit
7402,2020-01-27 21:43:38.437+00,466accbac9a66b805ba50e42ad715740,100.0,ars,complete,deposit
7404,2020-01-27 21:43:38.472+00,466accbac9a66b805ba50e42ad715740,100.0,mxn,complete,deposit
7474,2020-02-07 00:08:48.222+00,102f0bb6efb3a6128a3c750dd16729be,3.0,btc,complete,deposit
7476,2020-02-07 00:08:48.27+00,102f0bb6efb3a6128a3c750dd16729be,34.0,eth,complete,deposit
7478,2020-02-07 00:08:48.309+00,102f0bb6efb3a6128a3c750dd16729be,18000.0,mana,complete,deposit
7482,2020-02-07 17:14:35.905+00,8a146f1a3da4700cbf03cdc55e2daae6,50.0,mxn,complete,deposit
7624,2020-02-17 16:08:04.759+00,0537fb40a68c18da59a35c2bfe1ca554,57.90657109,mxn,complete,deposit
7690,2020-02-24 18:51:57.492+00,2aaaddf27344ee54058548dc081c6541,500.0,mxn,complete,deposit
7692,2020-02-24 18:51:57.711+00,2aaaddf27344ee54058548dc081c6541,100.0,mxn,complete,deposit
7696,2020-02-25 00:37:43.83+00,c4b31ce7d95c75ca70d50c19aef08bf1,10000.0,btc,complete,deposit
7730,2020-02-25 22:05:39.307+00,2f4fe03d77724a7217006e5d16728874,100.0,btc,complete,deposit
7740,2020-02-26 23:02:55.372+00,7b41bfa5085806dfa24b8c9de0ce567f,100.0,mxn,complete,deposit
7742,2020-03-02 23:12:23.532+00,b5c01503041b70d41d80e3dbe31bbd8c,1000.0,ars,complete,deposit
7752,2020-03-04 20:58:39.668+00,fd69dbe29f156a7ef876a40a94f65599,10000.0,mxn,complete,deposit
7754,2020-03-04 20:58:56.907+00,fd69dbe29f156a7ef876a40a94f65599,10000.0,btc,complete,deposit
7756,2020-03-04 20:58:56.947+00,fd69dbe29f156a7ef876a40a94f65599,100000.0,eth,complete,deposit
7764,2020-03-04 23:25:15.182+00,b6cda17abb967ed28ec9610137aa45f7,100.0,btc,complete,deposit
7766,2020-03-04 23:25:15.33+00,b6cda17abb967ed28ec9610137aa45f7,10000.0,dai,complete,deposit
7768,2020-03-04 23:25:15.354+00,b6cda17abb967ed28ec9610137aa45f7,10000.0,eth,complete,deposit
7770,2020-03-04 23:25:15.374+00,b6cda17abb967ed28ec9610137aa45f7,666666.0,mxn,complete,deposit
7778,2020-03-05 03:04:15.942+00,999600eb275cc7196161261972daa59b,100000.0,ars,complete,deposit
7780,2020-03-05 03:05:56.767+00,999600eb275cc7196161261972daa59b,100000.0,mxn,complete,deposit
7782,2020-03-05 03:06:47.473+00,999600eb275cc7196161261972daa59b,100000.0,btc,complete,deposit
