id,event_timestamp,user_id,amount,currency,tx_status
3521,2020-01-02 19:55:43.341+00,2dea61eed4bceec564a00115c4d21334,1000.000000000000000000,bat,complete
3522,2020-01-02 19:55:43.477+00,2dea61eed4bceec564a00115c4d21334,1000.000000000000000000,gnt,complete
3523,2020-01-02 19:55:43.516+00,2dea61eed4bceec564a00115c4d21334,1000.000000000000000000,mana,complete
3524,2020-01-02 19:55:43.555+00,2dea61eed4bceec564a00115c4d21334,1000.000000000000000000,ars,complete
3527,2020-01-06 17:07:49.794+00,7f1171a78ce0780a2142a6eb7bc4f3c8,100.000000000000000000,ars,complete
3528,2020-01-06 19:39:10.992+00,95f8d9901ca8878e291552f001f67692,5.000000000000000000,btc,complete
3529,2020-01-06 19:39:11.157+00,95f8d9901ca8878e291552f001f67692,20.000000000000000000,eth,complete
3530,2020-01-06 19:39:11.216+00,95f8d9901ca8878e291552f001f67692,20.000000000000000000,ltc,complete
3531,2020-01-06 19:39:11.261+00,95f8d9901ca8878e291552f001f67692,20000.000000000000000000,tusd,complete
3532,2020-01-06 19:39:11.306+00,95f8d9901ca8878e291552f001f67692,650000.000000000000000000,mxn,complete
3535,2020-01-09 00:18:45.164+00,7f1171a78ce0780a2142a6eb7bc4f3c8,100.000000000000000000,bat,complete
3561,2020-01-10 14:11:06.711+00,1896a3bf730516dd643ba67b4c447d36,10.000000000000000000,mxn,complete
3563,2020-01-10 19:10:15.007+00,b166b57d195370cd41f80dd29ed523d9,100000.000000000000000000,ars,complete
3564,2020-01-10 19:10:15.085+00,b166b57d195370cd41f80dd29ed523d9,10000.000000000000000000,mxn,complete
3565,2020-01-11 04:02:46.65+00,cd3afef9b8b89558cd56638c3631868a,10000.000000000000000000,ars,complete
3566,2020-01-13 02:20:50.588+00,b5c01503041b70d41d80e3dbe31bbd8c,1000.000000000000000000,mxn,complete
3567,2020-01-13 02:24:51.125+00,b5c01503041b70d41d80e3dbe31bbd8c,1.000000000000000000,mxn,complete
3593,2020-01-15 11:04:38.211+00,329e6581efbc90bd92a1f22c4ba2103d,100000.000000000000000000,ars,complete
